,date,tournament,home_team,away_team,home_team_rating,away_team_rating,home_goals,away_goals,home_team_rating_change,away_team_rating_change,home_team_new_rating,away_team_new_rating,home_team_rank,away_team_rank,home_team_rank_change,away_team_rank_change,home_team_new_rank,away_team_new_rank,k,hadv,rdiff
0,Jan 2 2018,Gulf Cup in Kuwait,Iraq,United Arab Emirates,1570,1561,0,0,-1,1,1569,1562,67,71,0,0,67,71,40,0,9
1,Jan 2 2018,Gulf Cup in Kuwait,Oman,Bahrain,1512,1418,1,0,15,-15,1527,1403,71,112,4,-5,75,107,40,0,94
2,Jan 5 2018,Gulf Cup in Kuwait,Oman,United Arab Emirates,1527,1562,0,0,2,-2,1529,1560,75,71,0,0,75,71,30,0,-35
3,Jan 7 2018,Friendly in the United Arab Emirates,Estonia,Sweden,1507,1825,1,1,7,-7,1514,1818,79,20,1,0,80,20,20,0,-318
4,Jan 11 2018,Friendly in the United Arab Emirates,Finland,Jordan,1595,1480,2,1,7,-7,1602,1473,65,89,0,-1,65,88,20,0,115
5,Jan 14 2018,Friendly in Indonesia,Indonesia,Iceland,1233,1811,1,4,-2,2,1231,1813,154,21,0,0,154,21,20,100,-478
6,Jan 27 2018,Friendly in Turkey,South Korea,Moldova,1760,1330,1,0,2,-2,1762,1328,25,123,0,0,25,123,20,0,430
7,Jan 28 2018,Friendly in the United States,United States,Bosnia and Herzegovina,1751,1723,0,0,-4,4,1747,1727,31,34,-2,1,29,35,20,100,128
8,Jan 30 2018,Friendly in Turkey,Azerbaijan,Moldova,1400,1328,0,0,-2,2,1398,1330,109,123,0,0,109,123,20,0,72
9,Jan 30 2018,Friendly in Turkey,Jamaica,South Korea,1565,1762,2,2,5,-5,1570,1757,65,25,2,0,67,25,20,0,-197
10,Jan 31 2018,Friendly in the United States,Mexico,Bosnia and Herzegovina,1849,1727,1,0,7,-7,1856,1720,15,39,1,-2,16,37,20,0,122
11,Feb 3 2018,Friendly in Turkey,South Korea,Latvia,1757,1362,1,0,2,-2,1759,1360,25,120,0,0,25,120,20,0,395
12,Feb 26 2018,Friendly in Saudi Arabia,Saudi Arabia,Moldova,1568,1330,3,0,4,-4,1572,1326,65,123,2,0,67,123,20,100,338
13,Feb 28 2018,Friendly in Iraq,Iraq,Saudi Arabia,1569,1572,4,1,13,-13,1582,1559,63,75,3,-4,66,71,20,100,97
14,Mar 17 2018,Friendly in Iran,Iran,Sierra Leone,1800,1379,4,0,2,-2,1802,1377,22,114,0,0,22,114,20,100,521
15,Mar 20 2018,Friendly in Tahiti,Tahiti,New Caledonia,1220,1210,0,0,-3,3,1217,1213,158,160,-1,0,157,160,20,100,110
16,Mar 21 2018,Friendly in Spain,Andorra,Liechtenstein,1011,1169,1,0,14,-14,1025,1155,188,174,0,-3,188,171,20,0,-158
17,Mar 21 2018,Friendly tournament in Zambia,Angola,South Africa,1240,1545,1,1,11,-11,1251,1534,147,74,3,-1,150,73,30,0,-305
